ลำดับ	ภาพรีวิวจริง	เมือง	ย่าน	ชื่อร้าน / สถานที่	ประเภท	อาหาร / จุดเด่น	เวลาเปิด-ปิด	เมนูเด็ด / ไฮไลต์	โน้ตส่วนตัว	Google Maps
43	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG60_kW2k-uPt5yOVAxE4gU2QACSwYqIuW-N3eY9zonbhNTuCmyu53GpcYJpwIIVy_gyKRO15kuMFNbuWPqsweYPszzCbZENTza-YgU3U-_hFhWxamlc3fUVQpg9OVjrz7RQx0V7tfujTsouQqq-Jg-IaTtnWiVFvMmePQRje8cZj8tH2oJh01ucRh1mlLY3jcm7YeBW15pWZkMgzkWgcNSCtkskS4j3WiAAhVMWrZ-mcCUS1sVdcKi8moJsjZlgdzINk1FqJ9eE0Kz8G6BZUDmg=/main-43.jpg"")"	Osaka	Namba	Osaka Takashimaya (大阪高島屋)	ช้อปปิ้ง	ห้างสรรพสินค้าและศูนย์รวมอาหารชั้นใต้ดิน (Department Store / Depachika)	10:00 – 20:00 (ร้านอาหารชั้นบนถึง 23:00)	แหล่งรวมขนมของฝากพรีเมียมทั่วญี่ปุ่นชั้น B1, แบรนด์เนม แฟชั่น และร้านอาหารชื่อดัง		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6646089,135.5012633&query_place_id=Osaka%20Takashimaya%20Namba"", ""📍 แผนที่"")"
44	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGwsRbagP3KOGPOFmWAWZ2FwhSpdWI1ihFx5y2jEKZb6Lq3ey490QjMMuaR0711Mn9CYmwUCO1cKYWxIcftnJdWlK7EwvsAnZ5NgKxAGODqRUaE4-W9uPEB76D8ZD-3inzOxrYG5tFG5kVMAHJXNVkDgUUjQfrSz3EoTjCHnQc5VLy081uZa8lDuwdcy3vRMShrFNNNHjupLn3P1fIM7CvgewoZEMp8_Jaf6KbGbw11sbfaX-X7H5DDe7VD32oQLXkmYNWt-irGl-yuFjd-5A6rI=/jppopunderground_2.jpg"")"	Osaka	Shinsaibashi	PARCO GALLERY OSAKA (心斎橋PARCO 14F)	สถานที่ท่องเที่ยว	แกลเลอรีศิลปะและนิทรรศการป๊อปคัลเจอร์ (Art Gallery & Exhibition)	10:00 – 20:00	พื้นที่จัดนิทรรศการศิลปะร่วมสมัย ป๊อปอาร์ต อนิเมะ และสินค้าลิมิเต็ดหมุนเวียน		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6738705,135.5007267&query_place_id=PARCO%20GALLERY%20OSAKA%20Shinsaibashi"", ""📍 แผนที่"")"
45	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG5B3e982k0_Om-eChb4_4dWdcGharnwuW_SG_ApKsILUDC2Bq1egzWCglN1RjQ7ihxGEni-prlWI0NSrJ36ezBWZ7fTyKFGLlST30S-kleJCC-6BYIomdZiOhRzXswIJW38zF6_1O5BXJOg0-XTONv-yO9jOak4W5ynbGqzB8UQV9tJe5XXUnsJF1V7CZfRTZsEyg9gb4dQ1FkXXHwIPMazL4iPwKtiRCmnmkHb-WF5ogf9Bhl5x1NXYHJRHgdZJznyxm_lgLLeR89c4ZpVBhN2tTgN6I9BtIp4qUNNIAKEoMs2chdnZ0bdbyFZ5YJoy_J7Vu2y27ro0IU6ncex3NyKLO3VWxJR42sfXlrI6RjuV/9dcb58af-6130-4298-b398-8d8f7699e19a.jpg"")"	Osaka	Minoh	Katsuoji (วัดคัตสึโอจิ - 勝尾寺)	สถานที่ท่องเที่ยว	วัดแห่งชัยชนะและตุ๊กตาดารุมะนับหมื่นตัว (Temple of Good Fortune)	08:00 – 17:00 (เสาร์-อาทิตย์ถึง 18:00)	วัดขอพรชัยชนะ โอบล้อมด้วยตุ๊กตาดารุมะสีแดงนับหมื่นตัวทั่ววัด ทิวทัศน์ธรรมชาติสวยงาม		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.8657752,135.491087&query_place_id=Katsuoji%20Minoh"", ""📍 แผนที่"")"
46	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2NkgqncX10TDLf6oHTQLWtZ48rbSRsLhAhT8SJkw3JPoSX3W7JAleOLPc2nyb7hC0aVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd1oDtzfddgiX_wBIWhs6enTYO3-sD6tyLuKnLpdahnwaaDsAWd5eaCYipFYxII8CTYUyHljqQUHWeA3pXBU26Q5/harukas1-1280.jpg"")"	Osaka	Tennoji / Abeno	Harukas 300 (จุดชมวิว ฮารุกัส 300 - Abeno Harukas)	สถานที่ท่องเที่ยว	จุดชมวิวตึกระฟ้า 360 องศา (Observatory Deck ชั้น 58-60)	09:00 – 22:00	ชมทัศนียภาพเมืองโอซาก้าแบบพาโนรามา 360 องศาทั้งกลางวันและแสงสียามค่ำคืน		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6463062,135.5133091&query_place_id=Harukas%20300%20Tennoji%20/%20Abeno"", ""📍 แผนที่"")"
47	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7Nl8NPWUjOSXbEzJJqdxSUWCf3XaaGffvKJxg95bLmUrFOKhpzdq3c1Sem4n08RWYWVKeOzQ2ij5_AHNvZE_pd2siF_7AMk1Y1EivTaq1Jbpxk6TduD-mOLk-MSssURZrmWnhkYoHDRX1J6n_7qje1yXs7jlN5lqDjAfuj7GieH2RV-xR6AtIptG8jET0uCt9dvRY9SfGfbVlyVuJmvQDmzPTTkeIYs4jgZ6c103XWOd8lVHw4u12BN7X4yBp15XLS7z0IkO0B3zf8OUbKuPjM=/s_0n5p.jpg"")"	Osaka	Kizu Market / Namba	Uoichi Shokudo (魚市食堂 - ตลาดปลาคิซุ)	ร้านอาหาร	ข้าวหน้าปลาดิบซีฟู้ดดงบุริสดจากตลาดเช้า (Seafood Donburi)	06:00 – 13:00 (ปิดพุธและอาทิตย์)	Tokusen Kaisendon (ข้าวหน้าปลาดิบรวมพรีเมียม โปะอูนิ โฮตาเตะ แซลมอน ทูน่า กุ้งหวาน)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6570455,135.4996569&query_place_id=Uoichi%20Shokudo%20Kizu%20Market%20/%20Namba"", ""📍 แผนที่"")"
48	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG3Lv0Z8_qNzYODIUDEEYJomvAEXFIq6dc8894kayH0JEbVmWC4ORk_18md3qaNdW6Sr-otcG6qC24IdvwFB4xAH08LQ8WuVz_vO-Xg3EZcTe2IVzY_BJp13grRfUTjtBnJUtjVUSKEeJmfrlCwbG4aqnGTpN24P6Y4uT4xKyxRFmuZaeGRigcNFfUnqf_uqN7XJezuOU3mWoOMB-6PsaJ4fZFX7FHoC0im0byMRPS4K3KB0vllswNscncMbLdhDLXKmfsD35TOSoRNTzWPHSSJproJtrrLBjbKV-_50pm3WO-YwLAc_ohgOE-lEOElryCg==/enjoy_eat_img02.jpg"")"	Osaka	Naniwa / Namba	Osaka Kizu Wholesale Market (ตลาดค้าส่งคิซุ - 大阪木津卸売市場)	สถานที่ท่องเที่ยว / ตลาดสด	ตลาดปลาและผลไม้สดขายส่งท้องถิ่น (Local Wholesale Fish Market)	05:00 – 12:00 (เช้าตรู่ ปิดพุธและอาทิตย์)	เดินชิมอาหารทะเลสด ซาชิมิ ปลาดิบ สตรอว์เบอร์รีและองุ่นญี่ปุ่นคัดเกรดประมูล		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6573279,135.5001719&query_place_id=Osaka%20Kizu%20Wholesale%20Market%20Naniwa%20/%20Namba"", ""📍 แผนที่"")"
49	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2GxQyEiiSCKIwfOWd0iBoWID_lLhXSnY-LnrWDOM2KhYx2w05iz2oSR6jfnvgRWGhj_ouBHYNCYpqIdQl5Iyon1A_SAx0hpnWtUXJ2-wePRGpnUKSGMPFs1H-kksqAmkbagFTb23NpSMhCOIe9DUUViGmb7Y_cz57A7h76u4uD9LdNKMUeKBvFPEwlcTn67lYBChlLTJjw6LO2QPrAUJkOmnhB4skm__wUKy4a7PA8XoPAu1aivy-X05EsU8j9_eIx9J4915QkG6oPJy33ekBppmMDg1OKeoDfnGdUIwbHvHx2_fe80DRhga9svGr4Emy6y1kwdEU_rx24VPvy8XxXyjrNBw9iXW4gDGS-NANVS/VTTr8V346Tr9ofJhV1SH.jpg"")"	Osaka	Shinsaibashi	Rikimaru Shinsaibashi (爐ばた焼 力丸 心斎橋店)	ร้านอาหาร	โรบาตายากิ ปิ้งย่างเตาถ่านเสิร์ฟด้วยไม้พายยาว (Robatayaki Izakaya)	16:00 – 23:00	หอยเชลล์โฮตาเตะย่างเนยโชยุ, กุ้งลายเสือย่างเกลือ, ไก่และผักเสียบไม้ย่างถ่าน ราคาสุดคุ้ม		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6718068,135.5022053&query_place_id=Rikimaru%20Shinsaibashi%20Shinsaibashi"", ""📍 แผนที่"")"
50	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG36TARcxO1rLFDgwdPl0C1Bt9hdlVyY1pJ6sdArH9b-5ZKb2AAK-bkjppFG_xcbN5ymVvpvOMDjIh26JOXuDsgFL4BONvAaqOM92eM1hP_0NejbSuIC58X43F-IoQdF2RYZO-6EflRqXnIo87cMikMpcXdtyqJpwQa2uAfqxa3yuG5W9mu9dkWNK5v8rZA5w5MEyg9gb4dQ1FkXXHwIPMazL4iPwKtiRCmnmkHb-WF5ogf9Bhl5x1NXYHJRHgdZJznyxm_lgLLeR89c4ZpVBhN1as21OBhknCrpGkj2RCS-uO2hgIoL6-6XFfL-6i1sPKcbaDlE-1rVd4VcPSjd9ZgwKU2K_yUArj8x-FL_xcJgt/fb86662148be855d931b37d6c1e5fcbe.jpeg"")"	Osaka	Namba	Shabuwara Namba Grand Kagetsu (しゃぶ笑 なんばグランド花月店)	ร้านอาหาร	ชาบูชาบูหม้อเดี่ยว (Individual Shabu-shabu)	11:00 – 22:00	ชุดชาบูเนื้อวัวคุโรเกะวากิวหม้อเดี่ยว เสิร์ฟพร้อมบาร์ผักสดและข้าวไม่อั้น (ชั้น 1F Namba Grand Kagetsu)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.665108,135.50363&query_place_id=Shabuwara%20Namba%20Grand%20Kagetsu%20Namba"", ""📍 แผนที่"")"
51	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG8T8zkjp6eJZRHZqDe6RvMOYOHaBXdBllcsOuFamVSBK0cW6Y8MtoHk7llzATicOpiGbU39Sjid992sz-462s8V9cGJ4VryjPInpvIzYdKxdd0XRgvS1dkUzsTp1yDMALIBChlLTJjw6LO2QPrAUJkOmnhB4skm__wUKy4a7PA8XoPAu1aivy-X05EsU8j9_eLxC9Y9KWBAWEZoFBKTMJnecy1AaZRwZep-RBD3pYwUKw4y8kOwAQ9cv6A9FskWR3fmepDQjqYA9sgS3Wi_ke5byjrNBw9iXW4gDGS-NANVS/IMG_0985-1024x768.jpg"")"	Osaka	Namba / Sennichimae	Tempura Makino Namba (天ぷら まきの 難波千日前店)	ร้านอาหาร	เทมปุระทอดสดเสิร์ฟทีละชิ้น (Freshly-fried Tempura)	11:00 – 22:00	Makino Teishoku (เซ็ตเทมปุระรวมพร้อมไข่ต้มเทมปุระเยิ้มๆ คลุกข้าวสวยโรยพริกไทยดำ), กุ้งและหอยนางรม		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.6664593,135.5019007&query_place_id=Tempura%20Makino%20Namba%20Namba%20/%20Sennichimae"", ""📍 แผนที่"")"
52	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG0qPYmrUwyYvBr6q-NYFsnn1DkDpwlfTWz6-6YUgTJy1lDgfJrkRHdHQju2gUkf7fotASS_W0DviF7nLZgSVIerBMoPYG-HUNRZF1x8CDzGsy-Ij8CrYkQpp5pB2_lheaIH_QYZecdTV2ByUR4HWSc58sZv5YCy3kfPXOGaVQYTdFpGAyVbbLd3rZBAiDGj8ut-sUtE-0029umXYvKCahAFKkgq4EqdJuPoSL32dxTL5oXOez0KFQo02t9eEItuzvw==/rinku1.jpg"")"	Osaka	Rinku Town / Izumisano	Rinku Marble Beach (หาดหินอ่อนรินคู - りんくうマーブルビーチ)	สถานที่ท่องเที่ยว	หาดหินอ่อนสีขาวและสวนสาธารณะริมทะเล (Seaside Beach & Sunset Spot)	เปิด 24 ชั่วโมง	หาดหินอ่อนสีขาวทอดยาว จุดชมพระอาทิตย์ตกดินติดอันดับ 1 ใน 100 ของญี่ปุ่น วิวเครื่องบินขึ้นลง		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.4036344,135.2890674&query_place_id=Rinku%20Marble%20Beach%20Rinku%20Town%20/%20Izumisano"", ""📍 แผนที่"")"
53	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGyYx7IqEYxeN9Xu7hdjJoKSth3J6duE88-k9h-f6-uGvXkAiQXm5-tq80nFwRNJdVDJmc0R2I61hIZSiBRzUV-8yujkacz3-zhaQ-NJ_zN_sy0cgE1wElJaeNcwQ2Y2g5LH4mV0tatNpvx1uxq4qAz_CXyfinoy0QPfOrk0YqYWrJyfiQQuM3PxUA7wUBzzCVq9Ytiugka09kZu0JPi9NbTyjrNBw9iXW4gDGS-NANVS/s15-0.jpg"")"	Osaka	Rinku Town / Izumisano	Rinku Town (รินคูทาวน์ - 臨空タウン)	สถานที่ท่องเที่ยว / ช้อปปิ้ง	เมืองท่องเที่ยวริมทะเล ช้อปปิ้ง และชิงช้าสวรรค์ (Waterfront Commercial Town)	10:00 – 20:00	ชิงช้าสวรรค์ยักษ์ Rinku no Hoshi, ช้อปปิ้งมอลล์ Seacle และ Outlet ริมอ่าว		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.4103498,135.2998223&query_place_id=Rinku%20Town%20Rinku%20Town%20/%20Izumisano"", ""📍 แผนที่"")"
54	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG9xX3MH5qFi8wMB_Qy81b-9Kj7eZRUzaQ0L6PYfusniIPfwnJyW1wBQ6HqJ-uYdk4vTFbSk-sb7PsAObKoVBaiD1zrwfs5CGp8FwVW6i8R_p3kdZK2NhvwGH7eedDAfyyA-lE4tAYm_K-JVMf0IlAiRGlcjzNqDDszuzqmqTJRGgPcdndOd4usqrP_guJ19ieZnHK5955_nku1sfs4DcuaFcASlf5dnQRQXu2ThzEa3dx-UqI4B3YQt17FhYHajf0KHtpPEpa_xhouOaVNfNfKO3UUFSxgoCJRgItXubXT3DeSQPjxgrT8dge6SjbS7cZw==/title-1773099494691.jpeg"")"	Kyoto	Karasuma Oike / Nakagyo	(THISIS)SHIZEN (ディス イズ シゼン - 新風館 1F)	คาเฟ่ / ขนมหวาน	ไอศกรีมศิลปะช่อดอกไม้ถั่วแดงกวน (Botanical Sweets)	10:00 – 19:00	Ice Bouquet (ไอศกรีมซอฟต์เสิร์ฟประดับกลีบดอกไม้แกะสลักจากถั่วแดงกวน สวยงามและอร่อย)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.009357,135.7599419&query_place_id=%20Karasuma%20Oike%20/%20Nakagyo"", ""📍 แผนที่"")"
55	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2cFZAQE67TaXMl8Z2Vy-5Iko4aiVOz8z7AZzBFB31_FMYCcS6R6P2Dv-Fo6nLz2T6-7aJEjyDZSCQicjebz6P56_3iPm2uPi-Sab8402yPdR48LLI_ryEjGpRLvn_clY1SutR6yhdWO3xmBbflrVIQggfheT3VZvQQXUlSp7XonFW8qCg9JccEDAkW7qgTayoAgOERmond4rce8jpRphSmrlg_CZut-1eRwx49pFTf5QInafhdRLnbFqmUGPAvbuK2jl9e-P-JCH8fUI4LAkOd3sYc5BZFKX4BgHA1vXxl7rwtlq0gS3VVxc8MuITDN5w==/pixta_85361177_S-600x400.jpg"")"	Kyoto	Kawaramachi / Shijo	Kawaramachi-dori St (ถนนคาวารามาจิ - 河原町通り)	สถานที่ท่องเที่ยว / ช้อปปิ้ง	ถนนช้อปปิ้งใจกลางเมืองเกียวโต (Shopping & Cultural Street)	เปิด 24 ชั่วโมง (ร้านค้า 10:30 – 20:00)	แหล่งรวมห้างดัง (BAL, Takashimaya), ร้านค้า, คาเฟ่ริมคลองทาคาสะ และแม่น้ำคาโมะ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.0016984,135.7689646&query_place_id=Kawaramachi-dori%20St%20Kawaramachi%20/%20Shijo"", ""📍 แผนที่"")"
56	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxIvOfeFulQ-k6a-45h5F6hG8c77w0hBh7cS1_H9UuW6hHGTXiIT8MdWqn5N7OSMyY1a6PhgZgbF7xF87AZm5Ac2NHuUBh8ocYaGnmDcCwourMMgkWuukpQiOXlK-2_c0fPIXTZHPwJfKziZGNHV_QkMuVTi4jxXXoDtmfSZpw6vh0aVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd0NXhJcPhSP9MZRxbMnmps3i7Ide-xsPMVXMV8WLFZ7hZFDzH_kRl5WZmyYkDKWgdOZSjH48INGlip_pEGr7B6q/fce825fba1b6c6d5a43d8a8ae792315e.jpg"")"	Kyoto	Shimogyo / Kyoto Station	Totaro (藤太郎 - โททาโร่ เกียวโต)	ร้านอาหาร	โอเด้งและอาหารพื้นบ้านเกียวโต (Kyoto Obanzai & Oden Izakaya)	17:00 – 23:00 (ปิดวันอาทิตย์)	โอเด้งน้ำซุปดาชิใส หัวไชเท้าต้มฉ่ำ, ปลาดิบตามฤดูกาล, เมนูต้มตุ๋นสไตล์โอบันไซ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.9941419,135.7617536&query_place_id=Totaro%20Shimogyo%20/%20Kyoto%20Station"", ""📍 แผนที่"")"
57	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG1juihZR9YCeBvVK7Bxk68ZVRtCbc3e5S7U4-7i1IfIycEgAfjgW7SO-llHfObMXo68nDSMX_SgY5CP43518EFWMEFK9rj0Y7LLyCqdJczYeXGj0Z3M2WZIW-mJveG3_f1YGFhH6RqTC_q1eFRk5JI0vr_6r-P8iXrCWNWBivuitUy03gXz23M9kli8qfLSwEpEXCc5TZL6K-6wtGAdyD1l_FpshaH6Coufk-eaIuyI6vAkfKTqycG4vFAYmHNITJg==/2466.jpg"")"	Kyoto	Miyazu (ตอนเหนือเกียวโต)	Amanohashidate (สะพานสู่อัศจรรย์ อามาโนะฮาชิดาเตะ - 天橋立)	สถานที่ท่องเที่ยว	1 ใน 3 ทิวทัศน์ที่งดงามที่สุดของญี่ปุ่น (Three Views of Japan)	สันทรายเปิดตลอดเวลา (กระเช้า View Land 09:00 – 17:00)	แนวสันทรายต้นสนยาว 3.6 กม., วิวมังกรเหินฟ้าผ่านหว่างขา (Matanozoki)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.5698022,135.1918204&query_place_id=Amanohashidate%20Miyazu%20%28%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95%29"", ""📍 แผนที่"")"
58	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG2gaE5FEeKFFOU_TPxnJWIverSO1wrDHNsmjw4jlijaL6tf3yxm5u-EQ8mRcEFRkvXkGOKGFgRhVGiE91P3H8dgL8UGN3hA3tFsqzIKFxqMHnI1UhOSjFJLZrqE7rgVWN_F6SRVIsJ_NbxYiLv_-eMn-jO3iN4wLtyHYDxKaqgBiTiurRrSMZew9xAniFKagn3s3dayHIEhnZSuj5ftsZtuNCDpbJAJW9BsVy9c6cx6IHM87UQG4qJ45ED7tgY1p9Gz9MR4opv8RJ1evDNsBxIukZJfuffmBmUhAx8MXmrUH/20250630_140717_2f839b6c_w1920.webp"")"	Kyoto	Ine (ตอนเหนือเกียวโต)	Ine Funaya (หมู่บ้านชาวประมงอิเนะ ฟุนายะ - 伊根の舟屋)	สถานที่ท่องเที่ยว	หมู่บ้านชาวประมงโบราณริมอ่าว (Traditional Fishing Village)	เดินชมได้ตลอด (เรือนำเที่ยว 09:00 – 16:00)	บ้านเรือนฟุนายะริมน้ำกว่า 230 หลัง, นั่งเรือชมอ่าวให้อาหารนกนางนวล, คาเฟ่ริมทะเล Ine Cafe		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6751496,135.2727148&query_place_id=Ine%20Funaya%20Ine%20%28%E0%B8%95%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%82%E0%B8%95%29"", ""📍 แผนที่"")"
59	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG3ZNv5TdA1IXOLFGtmir9l5f_HV9YIbtRPNRZxc5dt-juC_4YFR8vxWqU1hu5KRpn2EwwbMJMuugqx9W6U4JWamcyy1Yp3AQHiMG7WI2Sz_kGALiEc2vo8Pq7-FsAzv19gA5rVAju91Rhpk-ymk4LZm5Mcb4Q7-I91QQYnyHYwah8n1W2gYKGcVmcwRgY8mlaPYlg-ppVWp4hkp1zuxfjh_PJQVfe0n_YVs5FK58NEAWoXAtSgGV-lyT6U6aV2P_xgz9APU_6jtg-AVSN-fy47HZ-frYo4b0WNfJ7weHT4nGqjGpqE_ByQfjm88_evgzvZpw8Z_in2vCNev0UCcxxwT4ON_F1wUfO9I_JERNeG3U-kEFTcC1dze4PoL8_6uz_A==/389568111.jpg"")"	Kyoto	Higashiyama / Tofukuji	Chikujō Sō (竹城荘 - ชิคุโจโซ เกียวโต)	ที่พัก / เรียวกัง	ที่พักสไตล์ญี่ปุ่นดั้งเดิม (Traditional Japanese Inn / Ryokan)	เช็คอิน 15:00 เป็นต้นไป	ที่พักบรรยากาศสงบ ใกล้วัดโทฟุคุจิและศาลเจ้าฟูชิมิอินาริ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=34.9745544,135.7732477&query_place_id=Chikuj%C5%8D%20S%C5%8D%20Higashiyama%20/%20Tofukuji"", ""📍 แผนที่"")"
60	"=IMAGE(""https://msp.c.yimg.jp/images/v2/tpvPBYOX1wpNVI1UoNSgEjVLPB1hcRVAwCYmiJqYluO1xo5Ni3YffO4cDQxHKem7ZNo0V9kI8Gyj_vsfWi-m6mEfpotKgsQbAwJByKmr-FR3RdGC9LV2RTOxOnXIMwAsgEKGUtMmPDos7ZA-sBQmQ6aeEHiySb__BQrLhrs8Dxeg8C7VqK_L5fTkSxTyP3948nMFz7nVFiM2REGr0KjBagVNKixraGh1teJwIXEsN7QbagL-1S4ItUp3G1aTuHNDA-QXIlpcvU083NOrV37FxINk1FqJ9eE0Kz8G6BZUDmg=/DSC04683ay.jpg"")"	Yamanashi	Hokuto (โฮคุโตะ ทางเหนือฟูจิ)	Tsusenkyo (หุบเขาซึเซ็นเคียว - 通仙峡)	สถานที่ท่องเที่ยว	หุบเขาช่องแคบธรรมชาติและจุดชมใบไม้เปลี่ยนสี (Scenic Gorge & Valley)	เปิดตลอดวัน (แนะนำชมช่วงกลางวัน)	สะพานแขวนข้ามหุบเขา วิวแม่น้ำมิตากิและธรรมชาติป่าเขา ทิวทัศน์ใบไม้เปลี่ยนสียอดนิยม		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.858294,138.511784&query_place_id=Tsusenkyo%20Hokuto%20%28%E0%B9%82%E0%B8%AE%E0%B8%84%E0%B8%B8%E0%B9%82%E0%B8%95%E0%B8%B0%20%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B8%9F%E0%B8%B9%E0%B8%88%E0%B8%B4%29"", ""📍 แผนที่"")"
